DISPCNT write val=0x1140 at scanline=18 cyc=100583041 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=23 cyc=100589199 PC=0x800af46
DISPCNT write val=0x1140 at scanline=27 cyc=100594133 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=31 cyc=100599065 PC=0x800af46
DISPCNT write val=0x1140 at scanline=36 cyc=100605221 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=39 cyc=100608921 PC=0x800af46
DISPCNT write val=0x1140 at scanline=45 cyc=100616309 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=47 cyc=100618777 PC=0x800af46
DISPCNT write val=0x1140 at scanline=55 cyc=100628629 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=63 cyc=100638482 PC=0x800af46
DISPCNT write val=0x1140 at scanline=64 cyc=100639727 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=71 cyc=100648338 PC=0x800af46
DISPCNT write val=0x1140 at scanline=73 cyc=100650815 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=79 cyc=100658194 PC=0x800af46
DISPCNT write val=0x1140 at scanline=82 cyc=100661903 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=87 cyc=100668050 PC=0x800af46
DISPCNT write val=0x1140 at scanline=91 cyc=100672985 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=95 cyc=100677913 PC=0x800af46
DISPCNT write val=0x1140 at scanline=100 cyc=100684073 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=103 cyc=100687769 PC=0x800af46
DISPCNT write val=0x1140 at scanline=109 cyc=100695161 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=111 cyc=100697625 PC=0x800af46
DISPCNT write val=0x1140 at scanline=119 cyc=100707481 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=127 cyc=100717334 PC=0x800af46
DISPCNT write val=0x1140 at scanline=129 cyc=100719807 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=136 cyc=100728422 PC=0x800af46
DISPCNT write val=0x1140 at scanline=138 cyc=100730895 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=144 cyc=100738278 PC=0x800af46
DISPCNT write val=0x1140 at scanline=145 cyc=100739522 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=152 cyc=100748134 PC=0x800af46
DISPCNT write val=0x1140 at scanline=154 cyc=100750610 PC=0x800af7a
